timestamp,edge_id,road_name,source_node,target_node,volume_veh_hr,avg_speed_kmh,occupancy_pct,travel_time_sec,capacity_veh_hr,free_flow_speed_kmh,lanes
2026-09-19T07:00:00Z,EDGE_101,Grand Avenue Express,NODE_A,NODE_B,2100,68.5,18.2,105,3600,70.0,3
2026-09-19T07:15:00Z,EDGE_101,Grand Avenue Express,NODE_A,NODE_B,2650,62.0,24.5,116,3600,70.0,3
2026-09-19T07:30:00Z,EDGE_101,Grand Avenue Express,NODE_A,NODE_B,3400,48.0,41.2,150,3600,70.0,3
2026-09-19T07:45:00Z,EDGE_101,Grand Avenue Express,NODE_A,NODE_B,3850,26.5,67.8,272,3600,70.0,3
2026-09-19T08:00:00Z,EDGE_101,Grand Avenue Express,NODE_A,NODE_B,4100,14.2,88.4,507,3600,70.0,3
2026-09-19T08:15:00Z,EDGE_101,Grand Avenue Express,NODE_A,NODE_B,3950,12.0,91.5,600,3600,70.0,3
2026-09-19T08:30:00Z,EDGE_101,Grand Avenue Express,NODE_A,NODE_B,3600,18.5,79.0,389,3600,70.0,3
2026-09-19T07:00:00Z,EDGE_102,North Ring Bypass,NODE_A,NODE_C,1400,78.0,14.0,92,3000,80.0,2
2026-09-19T07:15:00Z,EDGE_102,North Ring Bypass,NODE_A,NODE_C,1650,75.2,16.5,96,3000,80.0,2
2026-09-19T07:30:00Z,EDGE_102,North Ring Bypass,NODE_A,NODE_C,1900,72.0,19.8,100,3000,80.0,2
2026-09-19T07:45:00Z,EDGE_102,North Ring Bypass,NODE_A,NODE_C,2150,68.4,22.1,105,3000,80.0,2
2026-09-19T08:00:00Z,EDGE_102,North Ring Bypass,NODE_A,NODE_C,2300,65.0,25.0,111,3000,80.0,2
2026-09-19T08:15:00Z,EDGE_102,North Ring Bypass,NODE_A,NODE_C,2250,66.1,24.3,109,3000,80.0,2
2026-09-19T08:30:00Z,EDGE_102,North Ring Bypass,NODE_A,NODE_C,2100,69.0,22.0,104,3000,80.0,2
2026-09-19T07:00:00Z,EDGE_103,Bypass Connector East,NODE_C,NODE_B,1200,58.0,15.2,124,2400,60.0,2
2026-09-19T07:15:00Z,EDGE_103,Bypass Connector East,NODE_C,NODE_B,1450,56.5,18.0,127,2400,60.0,2
2026-09-19T07:30:00Z,EDGE_103,Bypass Connector East,NODE_C,NODE_B,1600,54.0,21.5,133,2400,60.0,2
2026-09-19T07:45:00Z,EDGE_103,Bypass Connector East,NODE_C,NODE_B,1750,52.2,23.8,138,2400,60.0,2
2026-09-19T08:00:00Z,EDGE_103,Bypass Connector East,NODE_C,NODE_B,1850,50.0,26.0,144,2400,60.0,2
2026-09-19T08:15:00Z,EDGE_103,Bypass Connector East,NODE_C,NODE_B,1800,51.0,25.1,141,2400,60.0,2
2026-09-19T08:30:00Z,EDGE_103,Bypass Connector East,NODE_C,NODE_B,1650,53.4,22.4,135,2400,60.0,2
2026-09-19T08:00:00Z,EDGE_104,South Waterfront Blvd,NODE_A,NODE_D,1500,46.0,32.0,156,2200,50.0,2
2026-09-19T08:15:00Z,EDGE_104,South Waterfront Blvd,NODE_A,NODE_D,1750,42.0,38.5,171,2200,50.0,2
2026-09-19T08:00:00Z,EDGE_105,Waterfront East Link,NODE_D,NODE_B,1450,48.0,30.5,150,2200,50.0,2
2026-09-19T08:15:00Z,EDGE_105,Waterfront East Link,NODE_D,NODE_B,1680,44.5,35.0,162,2200,50.0,2
2026-09-19T08:00:00Z,EDGE_106,Central Midtown Corridor,NODE_B,NODE_E,2800,32.0,55.0,225,3200,55.0,3
2026-09-19T08:15:00Z,EDGE_106,Central Midtown Corridor,NODE_B,NODE_E,2950,28.5,62.0,253,3200,55.0,3
2026-09-19T08:00:00Z,EDGE_107,Metro Perimeter North,NODE_C,NODE_F,900,74.0,12.0,97,2000,75.0,2
2026-09-19T08:15:00Z,EDGE_107,Metro Perimeter North,NODE_C,NODE_F,950,73.0,13.0,99,2000,75.0,2
2026-09-19T08:00:00Z,EDGE_108,Suburban Linkway,NODE_F,NODE_E,850,68.0,14.5,106,2000,70.0,2
2026-09-19T08:15:00Z,EDGE_108,Suburban Linkway,NODE_F,NODE_E,920,66.5,15.5,108,2000,70.0,2
